url,timestamp
https://www.dha.com.tr/foto-galeri/losemiyi-yendi-kendisiyle-ayni-kaderi-paylasan-genclere-destek-oluyor-2596397,2025-03-08 00:10:58
https://dimayor.com.co/2025/03/06/confirmacion-de-partido-adelantado-fecha-17-de-la-liga-betplay-dimayor-l-2025/,2025-03-08 00:16:16
https://medyascope.tv/2025/03/07/lazkiye-ve-tartusta-neler-oluyor/,2025-03-08 00:19:37
https://en.as.com/resultados/futbol/italia/2024_2025/directo/regular_a_28_484528/,2025-03-08 00:20:44
https://www.haberturk.com/sivas-haberleri/37260089-sivasta-egzotik-hayvan-kacakciligi-operasyonunda-4-yilan-ve-1-tarantula-ele-gecirildi,2025-03-09 14:38:40
https://www.hurriyet.com.tr/kelebek/hayat/cem-davran-ilk-gordugumde-ben-bu-kiz-ile-evlenecegim-dedim-hayatimda-da-baskasi-vardi-42719539,2025-03-09 18:41:18
https://bigpara.hurriyet.com.tr/ekonomi-haberleri/galeri-thy-aile-indirimi-kampanyasi-2025-tarihleri-ve-sartlari-turk-hava-yollari-thy-yuzde-15-aile-indirimi-ne-zaman-nerelerde_ID1608582/,2025-03-09 18:54:44
https://www.oggusto.com/moda/markalar-ve-tasarimcilar/paris-moda-haftasi-sonbahar-kis-2025-defileleri,2025-03-09 19:30:11
"https://t24.com.tr/haber/selin-sekerci-den-turkish-delight-akimi,1223864",2025-03-09 19:41:52
"https://t24.com.tr/haber/selin-sekerci-den-turkish-delight-akimi,1223864",2025-03-09 19:46:02
"https://t24.com.tr/yazarlar/faruk-ekici/mart-ayinda-kacirilmamasi-gereken-dort-butce-dostu-tiyatro-oyunu,48864",2025-03-09 19:59:53
https://www.milliyet.com.tr/galeri/zuhal-topalla-yemekteyiz-kim-kazandi-yemekteyiz-3-7-mart-haftasinin-kazanani-hangi-isim-oldu-150-bin-tlnin-sahibi-7324467,2025-03-09 20:02:01
https://www.trthaber.com/haber/ekonomi/thynin-ucak-filosu-genisliyor-899993.html,2025-03-09 20:25:51
